id,1st,2nd,3rd,wt
790,3,2,1,1.40000000000000 
1177,1,4,4,0.90000000000000 
169,1,4,3,0.93650793650794 
1293,1,4,4,0.93333333333333 
3648,1,4,4,0.71264367816092 
4459,3,3,3,1.30769230769230 
1118,1,4,4,0.87301587301587 
1482,4,1,1,1.06250000000000 
3587,1,4,4,0.87301587301587 
404,2,3,3,0.77777777777778 
412,1,4,4,0.71264367816092 
943,2,3,3,0.81481481481482 
2908,1,4,4,0.96774193548387 
824,5,9,2,1.75000000000000 
4363,1,4,4,0.71264367816092 
1730,3,2,1,0.96774193548387 
628,2,1,1,0.96774193548387 
143,5,1,1,0.80882352941177 
2330,1,3,4,0.77777777777778 
4566,1,4,4,1.00000000000000 
4445,2,2,1,0.70212765957447 
2576,1,4,4,0.81818181818182 
795,6,3,3,1.03030303030303 
3277,1,9,9,0.96774193548387 
3459,5,2,1,1.05555555555555 
2127,1,3,3,0.92857142857143 
3430,1,4,4,0.73913043478261 
1278,5,3,3,0.82608695652174 
1719,1,3,3,0.93650793650794 
331,1,4,4,0.73809523809524 
778,1,4,4,0.96774193548387 
2943,2,3,9,0.97297297297297 
4209,1,3,4,0.88888888888889 
3009,1,4,4,0.43750000000000 
3230,1,4,4,0.87301587301587 
4242,1,4,4,1.12068965517241 
1870,1,4,4,1.00000000000000 
2258,1,4,4,0.93650793650794 
1660,1,4,4,0.84848484848485 
752,6,3,9,0.77777777777778 
2965,1,4,4,0.54545454545455 
966,1,4,4,1.20000000000000 
2465,2,1,1,0.68085106382979 
3292,2,1,1,1.12068965517241 
772,1,4,4,0.68750000000000 
1602,6,3,3,1.50000000000000 
3797,2,1,1,0.87301587301587 
4590,1,4,4,0.78260869565217 
151,1,4,3,0.69230769230769 
3047,2,1,1,2.50000000000000 
101,5,1,3,1.00000000000000 
4573,3,1,1,1.00000000000000 
4405,1,3,3,0.93650793650794 
4051,2,1,1,0.87301587301587 
2629,1,4,4,0.81818181818182 
3327,1,4,4,0.90410958904110 
3442,6,9,3,1.10000000000000 
2097,1,4,4,0.75000000000000 
73,1,4,4,0.87301587301587 
825,1,4,4,0.68750000000000 
2936,2,2,2,0.54545454545455 
935,1,4,4,1.00000000000000 
518,2,2,2,0.87301587301587 
673,1,4,4,0.66000000000000 
723,1,9,9,1.43243243243243 
12,2,1,1,0.93333333333333 
3617,1,4,4,0.77777777777778 
311,6,1,1,0.84848484848485 
2343,2,1,1,0.66000000000000 
